country,location_name,latitude,longitude,timezone,temperature_celsius,condition_text,wind_mph,wind_kph,wind_direction,precip_mm,precip_in,humidity,cloud,feels_like_celsius,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index
Guyana,Georgetown,6.8,-58.17,America/Guyana,28,Partly cloudy,4.3,6.8,NE,0,0,84,25,32.5,223.6,11.6,4.9,1,1
Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince,27.7,Overcast,2.2,3.6,S,0,0,63,100,29.6,423.9,26.5,11.7,1,1
Vatican City,Vatican City,41.9,12.45,Europe/Rome,20,Partly cloudy,5.6,9,SSE,0.1,0,73,25,20,474,2,21.3,1,2
Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa,29,Patchy light rain with thunder,3.8,6.1,ESE,1.5,0.06,55,25,36.2,567.4,62.9,7.4,2,2
Hungary,Budapest,47.5,19.08,Europe/Budapest,15,Clear,4.3,6.8,W,0.8,0.03,94,0,15.7,403.9,4,52.8,2,2
Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik,10.2,Overcast,11.9,19.1,SE,0,0,88,100,7.8,237,64.4,0.3,1,1
India,New Delhi,28.6,77.2,Asia/Kolkata,29,Mist,2.2,3.6,SSW,0,0,70,25,30.4,701,10,24.3,3,5
Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta,24,Mist,3.8,6.1,SW,0,0,94,25,25.7,7370,0,59.6,6,10
Iran,Tehran,35.73,51.33,Asia/Tehran,23,Partly cloudy,11.9,19.1,WSW,0,0,47,50,24,213.6,32.5,39.1,1,1
Iraq,Baghdad,33.34,44.39,Asia/Baghdad,31,Clear,2.5,4,SSW,0,0,29,0,29.8,340.5,71.5,15.6,2,2
Ireland,Dublin,53.33,-6.25,Europe/Dublin,13,Light rain,3.8,6.1,SSW,0,0,82,75,12.8,237,50.8,7.4,1,1
Israel,Jerusalem,31.78,35.23,Asia/Jerusalem,25,Clear,2.2,3.6,WNW,0,0,83,0,25.6,347.1,20.2,56.9,2,2
Italy,Rome,41.9,12.48,Europe/Rome,20,Partly cloudy,5.6,9,SSE,0,0,73,25,20,474,2,21.3,1,2
